Ticker,Name,Unnamed: 2,Sector,Industry,Index
BRK-B,BERKSHIRE HATHAWAY INC CLASS B,Too many simultaneous requests.,Financials,Asset Management,Broad US Index
IAS,INTEGRAL AD SCIENCE HOLDING CORP,Too many simultaneous requests.,Communication,Advertising Agencies,Broad US Index
CDLX,"Cardlytics, Inc.",Too many simultaneous requests.,Communication Services,Advertising Agencies,Broad US Index
GE,GE AEROSPACE,Too many simultaneous requests.,Industrials,Aerospace & Defense,Broad US Index
RTX,RTX CORP,Too many simultaneous requests.,Industrials,Aerospace & Defense,Broad US Index
BA,BOEING,Too many simultaneous requests.,Industrials,Aerospace & Defense,Broad US Index
LMT,LOCKHEED MARTIN CORP,Too many simultaneous requests.,Industrials,Aerospace & Defense,Broad US Index
GD,GENERAL DYNAMICS CORP,Too many simultaneous requests.,Industrials,Aerospace & Defense,Broad US Index
NOC,NORTHROP GRUMMAN CORP,Too many simultaneous requests.,Industrials,Aerospace & Defense,Broad US Index
WWD,WOODWARD INC,Too many simultaneous requests.,Industrials,Aerospace & Defense,Broad US Index
BWXT,BWX TECHNOLOGIES INC,Too many simultaneous requests.,Industrials,Aerospace & Defense,Broad US Index
TXT,TEXTRON INC,Too many simultaneous requests.,Industrials,Aerospace & Defense,Broad US Index
VVX,V2X INC,Too many simultaneous requests.,Industrials,Aerospace & Defense,Broad US Index
EVEX,EVE HOLDING INC,Too many simultaneous requests.,Industrials,Aerospace & Defense,Broad US Index
SKYH,SKY HARBOUR GROUP CORP CLASS A,Too many simultaneous requests.,Industrials,Aerospace & Defense,Broad US Index
ESLT,Elbit Systems Ltd.,Too many simultaneous requests.,Industrials,Aerospace & Defense,Broad US Index
SPCE,"Virgin Galactic Holdings, Inc.",Too many simultaneous requests.,Industrials,Aerospace & Defense,Broad US Index
CAT,CATERPILLAR INC,Too many simultaneous requests.,Industrials,Agricultural - Machinery,Broad US Index
DE,DEERE,Too many simultaneous requests.,Industrials,Agricultural - Machinery,Broad US Index
PCAR,PACCAR INC,Too many simultaneous requests.,Industrials,Agricultural - Machinery,Broad US Index
ASTE,ASTEC INDUSTRIES INC,Too many simultaneous requests.,Industrials,Agricultural - Machinery,Broad US Index
GENC,GENCOR INDUSTRIES INC,Too many simultaneous requests.,Industrials,Agricultural - Machinery,Broad US Index
HYFM,"Hydrofarm Holdings Group, Inc.",Too many simultaneous requests.,Industrials,Agricultural - Machinery,Broad US Index
KMTUY,Komatsu Ltd.,Too many simultaneous requests.,Industrials,Agricultural - Machinery,Broad US Index
ADM,ARCHER DANIELS MIDLAND,Too many simultaneous requests.,Consumer Staples,Agricultural Farm Products,Broad US Index
TSN,TYSON FOODS INC CLASS A,Too many simultaneous requests.,Consumer Staples,Agricultural Farm Products,Broad US Index
AQB,"AquaBounty Technologies, Inc.",Too many simultaneous requests.,Consumer Defensive,Agricultural Farm Products,Broad US Index
DAL,DELTA AIR LINES INC,Too many simultaneous requests.,Industrials,"Airlines, Airports & Air Services",Broad US Index
AAL,AMERICAN AIRLINES GROUP INC,Too many simultaneous requests.,Industrials,"Airlines, Airports & Air Services",Broad US Index
NKE,NIKE INC CLASS B,Too many simultaneous requests.,Consumer Discretionary,Apparel - Footwear & Accessories,Broad US Index
WEYS,WEYCO GROUP INC,Too many simultaneous requests.,Consumer Discretionary,Apparel - Footwear & Accessories,Broad US Index
COLM,COLUMBIA SPORTSWEAR,Too many simultaneous requests.,Consumer Discretionary,Apparel - Manufacturers,Broad US Index
TJX,TJX INC,Too many simultaneous requests.,Consumer Discretionary,Apparel - Retail,Broad US Index
ROST,ROSS STORES INC,Too many simultaneous requests.,Consumer Discretionary,Apparel - Retail,Broad US Index
CURV,TORRID HOLDINGS INC,Too many simultaneous requests.,Consumer Discretionary,Apparel - Retail,Broad US Index
BLK,BLACKROCK INC,Too many simultaneous requests.,Financials,Asset Management,Broad US Index
