Ticker,Name,Sector,Index
AAOI,,,Disruption
AAON,,,Disruption
AAPL,,,Disruption
ABBV,,,Disruption
ABNB,,,Disruption
ABT,,,Disruption
ACHR,,,Disruption
ACN,,,Disruption
ADBE,,,Disruption
ADSK,,,Disruption
ADYEY,,,Disruption
AEHR,,,Disruption
AFRM,,,Disruption
AI,,,Disruption
ALAB,,,Disruption
ALGM,,,Disruption
ALGN,,,Disruption
ALRM,,,Disruption
AMBA,,,Disruption
AMZN,,,Disruption
ANET,,,Disruption
AON,,,Disruption
AOSL,,,Disruption
APH,,,Disruption
API,,,Disruption
AQB,,,Disruption
ARCH,,,Disruption
ARCT,,,Disruption
ARGX,,,Disruption
ARRY,,,Disruption
ASML,,,Disruption
ASND,,,Disruption
ASTS,,,Disruption
ATAI,,,Disruption
ATEYY,,,Disruption
AVAV,,,Disruption
AVGO,,,Disruption
AWK,,,Disruption
AZO,,,Disruption
BA,,,Disruption
BABA,,,Disruption
BE,,,Disruption
BEAM,,,Disruption
BEKE,,,Disruption
BFLY,,,Disruption
BIDU,,,Disruption
BILL,,,Disruption
BJ,,,Disruption
BKNG,,,Disruption
BL,,,Disruption
BLK,,,Disruption
BMY,,,Disruption
BRK-B,,,Disruption
CAT,,,Disruption
CCJ,,,Disruption
CDLX,,,Disruption
CDNA,,,Disruption
CDNS,,,Disruption
CDW,,,Disruption
CDXS,,,Disruption
CERS,,,Disruption
CERT,,,Disruption
CGC,,,Disruption
CGEN,,,Disruption
CGNX,,,Disruption
CLLS,,,Disruption
CME,,,Disruption
CMPS,,,Disruption
CMS,,,Disruption
CNM,,,Disruption
COHR,,,Disruption
COIN,,,Disruption
COST,,,Disruption
CPRT,,,Disruption
CRDO,,,Disruption
CRCL,,,Disruption
CRM,,,Disruption
CRSP,,,Disruption
CRWD,,,Disruption
CSTL,,,Disruption
CTAS,,,Disruption
CW,,,Disruption
CWAN,,,Disruption
CWH,,,Disruption
CYRX,,,Disruption
DASH,,,Disruption
DDOG,,,Disruption
DE,,,Disruption
DGX,,,Disruption
DIOD,,,Disruption
DIS,,,Disruption
DKNG,,,Disruption
DKS,,,Disruption
DNA,,,Disruption
DOCN,,,Disruption
DOCU,,,Disruption
DPZ,,,Disruption
DRS,,,Disruption
DT,,,Disruption
DXCM,,,Disruption
ECL,,,Disruption
EHC,,,Disruption
ENVX,,,Disruption
EOSE,,,Disruption
EQIX,,,Disruption
EQT,,,Disruption
ESI,,,Disruption
ESLT,,,Disruption
ESTC,,,Disruption
ETSY,,,Disruption
EVGN,,,Disruption
