Ticker,Name,Quantity,Weight
ABBV,ABBVIE INC USD 0.01,68866,4.45
ABT,ABBOTT LABS NPV,21946,0.62
ABVX,ABIVAX SA EUR 0.01 ADR,220,0.01
AGL,AGILON HEALTH INC USD 0.01,9004,0.22
ALGN,ALIGN TECHNOLOGY INC USD 0.0001,49975,2.28
AMGN,AMGEN INC USD 0.0001,22399,2.24
AVTR,AVANTOR INC USD 0.01,1035469,3.73
BHVN,BIOHAVEN LTD NPV,861152,3.04
BMY,BRISTOL MYERS SQUIBB CO USD 0.1,1175,0.02
BNTC,BENITEC BIOPHARMA INC NPV,1074377,3.44
CAH,CARDINAL HEALTH INC NPV,28754,1.79
COO,COOPER COS INC USD 0.1,14082,0.28
CVS,CVS HEALTH CORPORATION USD 0.01,74316,2.07
DGX,QUEST DIAG COM USD0.01,53100,3.25
DHR,DANAHER CORP USD 0.01,66901,3.48
ELV,ELEVANCE HEALTH INC USD 0.01,27020,2.73
EMBC,EMBECTA CORP USD 0.01,3130,0.0
ESTA,ESTABLISHMENT LABS HOLDINGS USD 1.0,64675,1.58
EW,EDWARDS LI COM USD1,19943,0.47
EYPT,EYEPOINT INC,386171,1.26
FLR,FLUOR CORP NEW USD 0.01,6658,0.09
FULC,FULCRUM THERAPEUTICS INC USD 0.001,164314,0.16
GEHC,GE HEALTHCARE TECHNOLOGIES USD 0.01,55595,1.02
GH,GUARDANT HEALTH INC USD 0.00001,29451,1.23
GILD,GILEAD SCIENCES INC USD 0.001,86885,3.01
ICLR,ICON PLC EUR 0.06,1599,0.07
INSM,INSMED INC USD 0.01,14472,0.38
JAZZ,JAZZ PHARMACEUTICALS PLC USD 0.0001,73245,4.86
JNJ,JOHNSON + JOHNSON USD 1.0,70950,4.76
LLY,LILLY ELI + CO NPV,32246,9.54
NBIX,NEUROCRINE BIOSCIENCES IN USD 0.001,3540,0.16
NVO,NOVO-NORDISK A S DKK 10.0 ADR,142814,1.77
PCRX,PACIRA BIOSCIENCES INC USD 0.001,88768,0.63
PCT,PURECYCLE TECHNOLOGIES I USD 0.0001,3565804,6.59
PRAX,PRAXIS PRECISION MEDICIN USD 0.0001,397,0.03
REGN,REGENERON PHARMACEUTICALS USD 0.001,78,0.02
SNDX,SYNDAX PHARMACEUTICALS I USD 0.0001,858,0.0
SRPT,SAREPTA THERAPEUTICS INC USD 0.0001,8218,0.03
SYK,STRYKER CORP USD 0.1,2400,0.22
TFX,TELEFLEX INC USD 1.0,1569,0.06
TGTX,TG THERAPEUTICS INC USD 0.001,22719,0.28
TMO,THERMO FISHER SCIENTIFIC IN USD 1.0,46111,6.98
TXG,10X GENOMICS INC USD 0.00001,152569,1.89
UNH,UNITEDHEALTH GROUP INC USD 0.01,43899,4.81
UTHR,UNITED THERAPEUTICS CORP D USD 0.01,48516,6.61
VLTO,VERALTO CORP USD 0.01,818,0.02
VRTX,VERTEX PHARMACEUTICALS INC USD 0.01,11156,1.38
WRBY,WARBY PARKER INC USD 0.0001,627246,4.68
ZBH,ZIMMER BIOMET HLDGS INC USD 0.01,4695,0.12
-,Estimated Cash,6272984,1.65
