Ticker,Name,Quantity,Weight,T-1 shrs,chng Shrs,% chng in share,Status
LLY,LILLY ELI + CO NPV,32412,10.06,32495,-83,-0.26,HELD
TMO,THERMO FISHER SCIENTIFIC IN USD 1.0,46349,7.0,46468,-119,-0.26,HELD
UTHR,UNITED THERAPEUTICS CORP D USD 0.01,48766,6.77,48891,-125,-0.26,HELD
PCT,PURECYCLE TECHNOLOGIES I USD 0.0001,3584230,6.41,3593443,-9213,-0.26,HELD
JAZZ,JAZZ PHARMACEUTICALS PLC USD 0.0001,73623,4.92,73812,-189,-0.26,HELD
JNJ,JOHNSON + JOHNSON USD 1.0,71316,4.77,71499,-183,-0.26,HELD
UNH,UNITEDHEALTH GROUP INC USD 0.01,44125,4.64,44238,-113,-0.26,HELD
WRBY,WARBY PARKER INC USD 0.0001,630486,4.43,632106,-1620,-0.26,HELD
ABBV,ABBVIE INC USD 0.01,69220,4.39,69397,-177,-0.26,HELD
BNTC,BENITEC BIOPHARMA INC NPV,1079929,3.69,1082705,-2776,-0.26,HELD
AVTR,AVANTOR INC USD 0.01,1040819,3.57,1043494,-2675,-0.26,HELD
DHR,DANAHER CORP USD 0.01,67245,3.5,67417,-172,-0.26,HELD
DGX,QUEST DIAG COM USD0.01,53374,3.31,53511,-137,-0.26,HELD
GILD,GILEAD SCIENCES INC USD 0.001,87333,2.98,87557,-224,-0.26,HELD
ELV,ELEVANCE HEALTH INC USD 0.01,27158,2.77,27227,-69,-0.25,HELD
BHVN,BIOHAVEN LTD NPV,726133,2.73,727999,-1866,-0.26,HELD
HSIC,SCHEIN HENRY INC USD 0.01,107535,2.47,107811,-276,-0.26,HELD
AMGN,AMGEN INC USD 0.0001,22513,2.37,22570,-57,-0.25,HELD
SMMT,SUMMIT THERAPEUTICS INC USD 0.01,549670,1.94,551083,-1413,-0.26,HELD
CVS,CVS HEALTH CORPORATION USD 0.01,74700,1.87,74892,-192,-0.26,HELD
CAH,CARDINAL HEALTH INC NPV,28902,1.79,28976,-74,-0.26,HELD
VRTX,VERTEX PHARMACEUTICALS INC USD 0.01,11212,1.41,11240,-28,-0.25,HELD
ESTA,ESTABLISHMENT LABS HOLDINGS USD 1.0,65009,1.34,65176,-167,-0.26,HELD
EYPT,EYEPOINT INC,388165,1.3,389162,-997,-0.26,HELD
-,Estimated Cash,4918801,1.28,4951733,-32932,-0.67,HELD
ALGN,ALIGN TECHNOLOGY INC USD 0.0001,28228,1.24,28300,-72,-0.25,HELD
GH,GUARDANT HEALTH INC USD 0.00001,29603,1.21,29679,-76,-0.26,HELD
GEHC,GE HEALTHCARE TECHNOLOGIES USD 0.01,55881,1.02,56024,-143,-0.26,HELD
TXG,10X GENOMICS INC USD 0.00001,73531,0.87,73720,-189,-0.26,HELD
ABT,ABBOTT LABS NPV,22058,0.62,22114,-56,-0.25,HELD
PCRX,PACIRA BIOSCIENCES INC USD 0.001,89226,0.59,89455,-229,-0.26,HELD
INSM,INSMED INC USD 0.01,14546,0.5,14583,-37,-0.25,HELD
EW,EDWARDS LI COM USD1,20045,0.47,20096,-51,-0.25,HELD
TGTX,TG THERAPEUTICS INC USD 0.001,22835,0.29,22893,-58,-0.25,HELD
COO,COOPER COS INC USD 0.1,14154,0.27,14190,-36,-0.25,HELD
SYK,STRYKER CORP USD 0.1,2412,0.21,2418,-6,-0.25,HELD
AGL,AGILON HEALTH INC USD 0.01,9050,0.2,9073,-23,-0.25,HELD
FULC,FULCRUM THERAPEUTICS INC USD 0.001,165162,0.16,165586,-424,-0.26,HELD
NBIX,NEUROCRINE BIOSCIENCES IN USD 0.001,3558,0.15,3567,-9,-0.25,HELD
ZBH,ZIMMER BIOMET HLDGS INC USD 0.01,4719,0.12,4731,-12,-0.25,HELD
FLR,FLUOR CORP NEW USD 0.01,6692,0.08,6709,-17,-0.25,HELD
ICLR,ICON PLC EUR 0.06,1607,0.07,1611,-4,-0.25,HELD
TFX,TELEFLEX INC USD 1.0,1577,0.06,1581,-4,-0.25,HELD
PRAX,PRAXIS PRECISION MEDICIN USD 0.0001,399,0.04,400,-1,-0.25,HELD
SRPT,SAREPTA THERAPEUTICS INC USD 0.0001,8260,0.04,8281,-21,-0.25,HELD
BMY,BRISTOL MYERS SQUIBB CO USD 0.1,1181,0.02,1184,-3,-0.25,HELD
REGN,REGENERON PHARMACEUTICALS USD 0.001,78,0.02,78,0,0.0,HELD
VLTO,VERALTO CORP USD 0.01,822,0.02,824,-2,-0.24,HELD
ABVX,ABIVAX SA EUR 0.01 ADR,220,0.01,220,0,0.0,HELD
EMBC,EMBECTA CORP USD 0.01,3146,0.0,3154,-8,-0.25,HELD
NVO,NOVO-NORDISK A S DKK 10.0 ADR,369,0.0,369,0,0.0,HELD
SNDX,SYNDAX PHARMACEUTICALS I USD 0.0001,862,0.0,864,-2,-0.23,HELD
