Ticker,Name,Sector,Location,Exchange,Index 
CRDO,CREDO TECHNOLOGY GROUP HOLDING LTD,Information Technology,United States,NASDAQ,Russell 2000
BE,BLOOM ENERGY CLASS A CORP,Industrials,United States,New York Stock Exchange Inc.,Russell 2000
FN,FABRINET,Information Technology,United States,New York Stock Exchange Inc.,Russell 2000
IONQ,IONQ INC,Information Technology,United States,New York Stock Exchange Inc.,Russell 2000
NXT,NEXTPOWER INC CLASS A,Industrials,United States,NASDAQ,Russell 2000
KTOS,KRATOS DEFENSE AND SECURITY SOLUTI,Industrials,United States,NASDAQ,Russell 2000
GH,GUARDANT HEALTH INC,Health Care,United States,NASDAQ,Russell 2000
BBIO,BRIDGEBIO PHARMA INC,Health Care,United States,NASDAQ,Russell 2000
OKLO,OKLO INC CLASS A,Utilities,United States,New York Stock Exchange Inc.,Russell 2000
SATS,ECHOSTAR CORP CLASS A,Communication,United States,NASDAQ,Russell 2000
RMBS,RAMBUS INC,Information Technology,United States,NASDAQ,Russell 2000
MDGL,MADRIGAL PHARMACEUTICALS INC,Health Care,United States,NASDAQ,Russell 2000
HL,HECLA MINING,Materials,United States,New York Stock Exchange Inc.,Russell 2000
CDE,COEUR MINING INC,Materials,United States,New York Stock Exchange Inc.,Russell 2000
ENSG,ENSIGN GROUP INC,Health Care,United States,NASDAQ,Russell 2000
SPXC,SPX TECHNOLOGIES INC,Industrials,United States,New York Stock Exchange Inc.,Russell 2000
DY,DYCOM INDUSTRIES INC,Industrials,United States,New York Stock Exchange Inc.,Russell 2000
STRL,STERLING INFRASTRUCTURE INC,Industrials,United States,NASDAQ,Russell 2000
GTLS,CHART INDUSTRIES INC,Industrials,United States,New York Stock Exchange Inc.,Russell 2000
IDCC,INTERDIGITAL INC,Information Technology,United States,NASDAQ,Russell 2000
RGTI,RIGETTI COMPUTING INC,Information Technology,United States,NASDAQ,Russell 2000
AVAV,AEROVIRONMENT INC,Industrials,United States,NASDAQ,Russell 2000
MOD,MODINE MANUFACTURING,Industrials,United States,New York Stock Exchange Inc.,Russell 2000
UMBF,UMB FINANCIAL CORP,Financials,United States,NASDAQ,Russell 2000
QBTS,D WAVE QUANTUM INC,Information Technology,United States,New York Stock Exchange Inc.,Russell 2000
AEIS,ADVANCED ENERGY INDUSTRIES INC,Information Technology,United States,NASDAQ,Russell 2000
SANM,SANMINA CORP,Information Technology,United States,NASDAQ,Russell 2000
XTSLA,BLK CSH FND TREASURY SL AGENCY,Cash and/or Derivatives,United States,--,Russell 2000
HQY,HEALTHEQUITY INC,Health Care,United States,NASDAQ,Russell 2000
CTRE,CARETRUST REIT INC,Real Estate,United States,New York Stock Exchange Inc.,Russell 2000
AHR,AMERICAN HEALTHCARE REIT INC,Real Estate,United States,New York Stock Exchange Inc.,Russell 2000
ONB,OLD NATIONAL BANCORP,Financials,United States,NASDAQ,Russell 2000
LUMN,LUMEN TECHNOLOGIES INC,Communication,United States,New York Stock Exchange Inc.,Russell 2000
CYTK,CYTOKINETICS INC,Health Care,United States,NASDAQ,Russell 2000
CMC,COMMERCIAL METALS,Materials,United States,New York Stock Exchange Inc.,Russell 2000
WTS,WATTS WATER TECHNOLOGIES INC CLASS,Industrials,United States,New York Stock Exchange Inc.,Russell 2000
SITM,SITIME CORP,Information Technology,United States,NASDAQ,Russell 2000
HIMS,HIMS HERS HEALTH INC CLASS A,Health Care,United States,New York Stock Exchange Inc.,Russell 2000
TTMI,TTM TECHNOLOGIES INC,Information Technology,United States,NASDAQ,Russell 2000
ARWR,ARROWHEAD PHARMACEUTICALS INC,Health Care,United States,NASDAQ,Russell 2000
JBTM,JBT MAREL CORP,Industrials,United States,New York Stock Exchange Inc.,Russell 2000
RNA,AVIDITY BIOSCIENCES INC,Health Care,United States,NASDAQ,Russell 2000
FLR,FLUOR CORP,Industrials,United States,New York Stock Exchange Inc.,Russell 2000
ZWS,ZURN ELKAY WATER SOLUTIONS CORP,Industrials,United States,New York Stock Exchange Inc.,Russell 2000
JOBY,JOBY AVIATION INC CLASS A,Industrials,United States,New York Stock Exchange Inc.,Russell 2000
SMTC,SEMTECH CORP,Information Technology,United States,NASDAQ,Russell 2000
ORA,ORMAT TECH INC,Utilities,United States,New York Stock Exchange Inc.,Russell 2000
PRIM,PRIMORIS SERVICES CORP,Industrials,United States,New York Stock Exchange Inc.,Russell 2000
APLD,APPLIED DIGITAL CORP,Information Technology,United States,NASDAQ,Russell 2000
MOGA,MOOG INC CLASS A,Industrials,United States,New York Stock Exchange Inc.,Russell 2000
FSS,FEDERAL SIGNAL CORP,Industrials,United States,New York Stock Exchange Inc.,Russell 2000
CADE,CADENCE BANK,Financials,United States,New York Stock Exchange Inc.,Russell 2000
JXN,JACKSON FINANCIAL INC CLASS A,Financials,United States,New York Stock Exchange Inc.,Russell 2000
TRNO,TERRENO REALTY REIT CORP,Real Estate,United States,New York Stock Exchange Inc.,Russell 2000
IBP,INSTALLED BUILDING PRODUCTS INC,Consumer Discretionary,United States,New York Stock Exchange Inc.,Russell 2000
BOOT,BOOT BARN HOLDINGS INC,Consumer Discretionary,United States,New York Stock Exchange Inc.,Russell 2000
PIPR,PIPER SANDLER COMPANIES,Financials,United States,New York Stock Exchange Inc.,Russell 2000
EAT,BRINKER INTERNATIONAL INC,Consumer Discretionary,United States,New York Stock Exchange Inc.,Russell 2000
FCFS,FIRSTCASH HOLDINGS INC,Financials,United States,NASDAQ,Russell 2000
ESNT,ESSENT GROUP LTD,Financials,United States,New York Stock Exchange Inc.,Russell 2000
EPRT,ESSENTIAL PROPERTIES REALTY TRUST,Real Estate,United States,New York Stock Exchange Inc.,Russell 2000
TMHC,TAYLOR MORRISON HOME CORP,Consumer Discretionary,United States,New York Stock Exchange Inc.,Russell 2000
GKOS,GLAUKOS CORP,Health Care,United States,New York Stock Exchange Inc.,Russell 2000
AXSM,AXSOME THERAPEUTICS INC,Health Care,United States,NASDAQ,Russell 2000
PTCT,PTC THERAPEUTICS INC,Health Care,United States,NASDAQ,Russell 2000
GATX,GATX CORP,Industrials,United States,New York Stock Exchange Inc.,Russell 2000
CWST,CASELLA WASTE SYSTEMS INC CLASS A,Industrials,United States,NASDAQ,Russell 2000
MIR,MIRION TECHNOLOGIES INC CLASS A,Information Technology,United States,New York Stock Exchange Inc.,Russell 2000
UEC,URANIUM ENERGY CORP,Energy,United States,Nyse Mkt Llc,Russell 2000
KRYS,KRYSTAL BIOTECH INC,Health Care,United States,NASDAQ,Russell 2000
TXNM,TXNM ENERGY INC,Utilities,United States,New York Stock Exchange Inc.,Russell 2000
VLY,VALLEY NATIONAL,Financials,United States,NASDAQ,Russell 2000
IRTC,IRHYTHM TECHNOLOGIES INC,Health Care,United States,NASDAQ,Russell 2000
RHP,RYMAN HOSPITALITY PROPERTIES REIT,Real Estate,United States,New York Stock Exchange Inc.,Russell 2000
ENS,ENERSYS,Industrials,United States,New York Stock Exchange Inc.,Russell 2000
BIPC,BROOKFIELD INFRASTRUCTURE CORP CLA,Utilities,Canada,New York Stock Exchange Inc.,Russell 2000
CNX,CNX RESOURCES CORP,Energy,United States,New York Stock Exchange Inc.,Russell 2000
HWC,HANCOCK WHITNEY CORP,Financials,United States,NASDAQ,Russell 2000
UFPI,UFP INDUSTRIES INC,Industrials,United States,NASDAQ,Russell 2000
GBCI,GLACIER BANCORP INC,Financials,United States,New York Stock Exchange Inc.,Russell 2000
HOMB,HOME BANCSHARES INC,Financials,United States,New York Stock Exchange Inc.,Russell 2000
RYTM,RHYTHM PHARMACEUTICALS INC,Health Care,United States,NASDAQ,Russell 2000
CVLT,COMMVAULT SYSTEMS INC,Information Technology,United States,NASDAQ,Russell 2000
POR,PORTLAND GENERAL ELECTRIC,Utilities,United States,New York Stock Exchange Inc.,Russell 2000
COGT,COGENT BIOSCIENCES INC,Health Care,United States,NASDAQ,Russell 2000
UBSI,UNITED BANKSHARES INC,Financials,United States,NASDAQ,Russell 2000
RDNT,RADNET INC,Health Care,United States,NASDAQ,Russell 2000
QLYS,QUALYS INC,Information Technology,United States,NASDAQ,Russell 2000
BMI,BADGER METER INC,Information Technology,United States,New York Stock Exchange Inc.,Russell 2000
ACHR,ARCHER AVIATION INC CLASS A,Industrials,United States,New York Stock Exchange Inc.,Russell 2000
CWAN,CLEARWATER ANALYTICS HOLDINGS INC,Information Technology,United States,New York Stock Exchange Inc.,Russell 2000
PCVX,VAXCYTE INC,Health Care,United States,NASDAQ,Russell 2000
PTGX,PROTAGONIST THERAPEUTICS INC,Health Care,United States,NASDAQ,Russell 2000
RIOT,RIOT PLATFORMS INC,Information Technology,United States,NASDAQ,Russell 2000
ACA,ARCOSA INC,Industrials,United States,New York Stock Exchange Inc.,Russell 2000
SWX,SOUTHWEST GAS HOLDINGS INC,Utilities,United States,New York Stock Exchange Inc.,Russell 2000
BKH,BLACK HILLS CORP,Utilities,United States,New York Stock Exchange Inc.,Russell 2000
