Ticker,Name,Sector,Index
MSFT,Microsoft Corporation,,Russell 3000
AMZN,"Amazon.com, Inc.",,Russell 3000
GOOGL,Alphabet Inc.,,Russell 3000
AVGO,Broadcom Inc.,,Russell 3000
GOOG,Alphabet Inc.,,Russell 3000
META,"Meta Platforms, Inc.",,Russell 3000
TSLA,"Tesla, Inc.",,Russell 3000
BRK-B,Berkshire Hathaway Inc.,,Russell 3000
JPM,JPMorgan Chase & Co.,,Russell 3000
LLY,Eli Lilly and Company,,Russell 3000
V,Visa Inc.,,Russell 3000
XOM,Exxon Mobil Corporation,,Russell 3000
WMT,Walmart Inc.,,Russell 3000
JNJ,"Netflix, Inc.",,Russell 3000
MA,Palantir Technologies Inc.,,Russell 3000
NFLX,Costco Wholesale Corporation,,Russell 3000
ABBV,Bank of America Corporation,,Russell 3000
PLTR,Oracle Corporation,,Russell 3000
COST,"The Home Depot, Inc.",,Russell 3000
BAC,"Advanced Micro Devices, Inc.",,Russell 3000
ORCL,The Procter & Gamble Company,,Russell 3000
HD,"Cisco Systems, Inc.",,Russell 3000
AMD,UnitedHealth Group Incorporated,,Russell 3000
PG,GE Aerospace,,Russell 3000
CSCO,Wells Fargo & Company,,Russell 3000
UNH,Chevron Corporation,,Russell 3000
GE,International Business Machines Corporation,,Russell 3000
WFC,Caterpillar Inc.,,Russell 3000
CVX,The Coca-Cola Company,,Russell 3000
IBM,"Micron Technology, Inc.",,Russell 3000
CAT,"Salesforce, Inc.",,Russell 3000
KO,RTX Corporation,,Russell 3000
MU,McDonald's Corporation,,Russell 3000
GS,Abbott Laboratories,,Russell 3000
MRK,Thermo Fisher Scientific Inc.,,Russell 3000
CRM,"Applied Materials, Inc.",,Russell 3000
PM,"Intuitive Surgical, Inc.",,Russell 3000
RTX,Morgan Stanley,,Russell 3000
MCD,American Express Company,,Russell 3000
ABT,Lam Research Corporation,,Russell 3000
TMO,"PepsiCo, Inc.",,Russell 3000
AMAT,Citigroup Inc.,,Russell 3000
ISRG,The Walt Disney Company,,Russell 3000
MS,QUALCOMM Incorporated,,Russell 3000
AXP,Linde plc,,Russell 3000
LRCX,Intuit Inc.,,Russell 3000
PEP,"Uber Technologies, Inc.",,Russell 3000
C,Intel Corporation,,Russell 3000
DIS,AT&T Inc.,,Russell 3000
QCOM,Verizon Communications Inc.,,Russell 3000
LIN,GE Vernova Inc.,,Russell 3000
INTU,"NextEra Energy, Inc.",,Russell 3000
UBER,"The TJX Companies, Inc.",,Russell 3000
INTC,Booking Holdings Inc.,,Russell 3000
AMGN,Amphenol Corporation,,Russell 3000
T,Accenture plc,,Russell 3000
NOW,Texas Instruments Incorporated,,Russell 3000
VZ,AppLovin Corporation,,Russell 3000
GEV,"BlackRock, Inc.",,Russell 3000
NEE,KLA Corporation,,Russell 3000
TJX,The Charles Schwab Corporation,,Russell 3000
BKNG,S&P Global Inc.,,Russell 3000
APH,Pfizer Inc.,,Russell 3000
ACN,Adobe Inc.,,Russell 3000
TXN,The Boeing Company,,Russell 3000
APP,Union Pacific Corporation,,Russell 3000
BLK,"Analog Devices, Inc.",,Russell 3000
KLAC,"Lowe's Companies, Inc.",,Russell 3000
SCHW,Welltower Inc.,,Russell 3000
SPGI,"Arista Networks, Inc.",,Russell 3000
GILD,Eaton Corporation plc,,Russell 3000
PFE,The Progressive Corporation,,Russell 3000
ADBE,"Palo Alto Networks, Inc.",,Russell 3000
BA,Medtronic plc,,Russell 3000
COF,Stryker Corporation,,Russell 3000
DHR,"CrowdStrike Holdings, Inc.",,Russell 3000
BSX,Honeywell International Inc.,,Russell 3000
UNP,ConocoPhillips,,Russell 3000
ADI,"Prologis, Inc.",,Russell 3000
LOW,Vertex Pharmaceuticals Incorporated,,Russell 3000
WELL,Deere & Company,,Russell 3000
ANET,Parker-Hannifin Corporation,,Russell 3000
ETN,Bristol-Myers Squibb Company,,Russell 3000
PGR,"Automatic Data Processing, Inc.",,Russell 3000
PANW,McKesson Corporation,,Russell 3000
MDT,Comcast Corporation,,Russell 3000
SYK,Newmont Corporation,,Russell 3000
CRWD,"Altria Group, Inc.",,Russell 3000
HON,"Robinhood Markets, Inc.",,Russell 3000
COP,CME Group Inc.,,Russell 3000
PLD,The Southern Company,,Russell 3000
VRTX,CVS Health Corporation,,Russell 3000
DE,"T-Mobile US, Inc.",,Russell 3000
PH,Lockheed Martin Corporation,,Russell 3000
CEG,"Cadence Design Systems, Inc.",,Russell 3000
BX,Duke Energy Corporation,,Russell 3000
CB,"Intercontinental Exchange, Inc.",,Russell 3000
BMY,"Marsh & McLennan Companies, Inc.",,Russell 3000
ADP,Spotify Technology S.A.,,Russell 3000
MCK,"Synopsys, Inc.",,Russell 3000
CMCSA,"Marvell Technology, Inc.",,Russell 3000
NEM,General Dynamics Corporation,,Russell 3000
MO,American Tower Corporation,,Russell 3000
HOOD,"HCA Healthcare, Inc.",,Russell 3000
CME,CRH plc,,Russell 3000
SBUX,"DoorDash, Inc.",,Russell 3000
SO,The Bank of New York Mellon Corporation,,Russell 3000
CVS,U.S. Bancorp,,Russell 3000
TMUS,"Waste Management, Inc.",,Russell 3000
LMT,"The PNC Financial Services Group, Inc.",,Russell 3000
CDNS,The Sherwin-Williams Company,,Russell 3000
DUK,Moody's Corporation,,Russell 3000
ICE,"The Williams Companies, Inc.",,Russell 3000
MMC,"Regeneron Pharmaceuticals, Inc.",,Russell 3000
MMM,Northrop Grumman Corporation,,Russell 3000
TT,TransDigm Group Incorporated,,Russell 3000
KKR,Elevance Health Inc.,,Russell 3000
SPOT,Illinois Tool Works Inc.,,Russell 3000
SNPS,Aon plc,,Russell 3000
MRVL,General Motors Company,,Russell 3000
GD,"Equinix, Inc.",,Russell 3000
ORLY,Vertiv Holdings Co,,Russell 3000
AMT,"Mondelez International, Inc.",,Russell 3000
HCA,Snowflake Inc.,,Russell 3000
